id;url;nama
;https://newsiga-siga.bkkbn.go.id/#/yankbDetail/YanKB-Tahunan-Kec/Tabel38C;Tabel38C Komulatif
dallap;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel1;Tabel1
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel2A;Tabel2A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel2ALanjut;Tabel2ALanjut
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel2B;Tabel2B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel2C;Tabel2C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel3A;Tabel3A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel3B;Tabel3B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel3C;Tabel3C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel4A;Tabel4A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel4ALanjut;Tabel4ALanjut
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel4B;Tabel4B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel5A;Tabel5A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel5ALanjut;Tabel5ALanjut
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel5B;Tabel5B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel6A;Tabel6A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel6B;Tabel6B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel7A;Tabel7A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel7B;Tabel7B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel8A;Tabel8A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel8B;Tabel8B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel8C;Tabel8C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel9A;Tabel9A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel9B;Tabel9B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel9C;Tabel9C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel10A;Tabel10A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel10B;Tabel10B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel10C;Tabel10C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel10D;Tabel10D
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel11A;Tabel11A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel11ALanjut;Tabel11ALanjut
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel11B;Tabel11B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel11C;Tabel11C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel12A;Tabel12A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel12B;Tabel12B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel13A;Tabel13A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel13B;Tabel13B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel13C;Tabel13C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel13D;Tabel13D
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel14A;Tabel14A
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel14B;Tabel14B
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel14C;Tabel14C
;https://newsiga-siga.bkkbn.go.id/#/dallapDetail/Dallap-Tahunan/Tabel15A;Tabel15A
